poverty_group,major_circ_2004,major_circ_2014,minor_circ_2004,minor_circ_2014,rural_circ_2004,rural_circ_2014
>30%,18106981,8930573,8918765,2233508,4796901,948408
20.1%-30%,42477388,34698615,20969773,19625233,12161199,9363528
10.1%-20%,5867567,8442473,1246055,3884959,1970600,3477664
<10%,0,79332,210127,408078,99070,438055
